tm,feels_like_max,feels_like_min,ta_hourly_max,ta_hourly_min
2010-01-28,1.9500980737723346,-4.698498771000916,4.960614673475744,-1.0165485039829034
2010-01-29,-0.07695737022897475,-6.841386183224947,3.5198938820285925,-4.2468975921251815
2010-01-30,4.327761133679611,-2.59177007567755,6.031306333761881,-2.3892767206117784
2010-01-31,7.286231568242605,-0.16376863169536415,7.3940887605045065,-0.16376863169536415
2010-02-01,3.0835268346816846,-3.0413198872225635,5.641776814345074,-0.030682572808206285
2010-02-02,-3.758844774703523,-10.268163623578875,-0.5852437974389968,-5.456259440388251
2010-02-03,-7.85325695079251,-12.813219949971575,-2.667438728809395,-8.344837098653707
2010-02-04,-2.8750488991578083,-10.188736882999677,1.0724280384623637,-7.724036765149246
2010-02-05,-3.266209206891802,-7.984737024296491,0.7725601776684461,-5.2224656050263665
2010-02-06,0.017138651176398678,-11.619850226455046,2.5626637863192743,-7.976395195898234
2010-02-07,6.230837336729337,-6.343251697404123,7.202101282798086,-6.343251697404123
2010-02-08,6.496328123240021,3.5737561075673434,6.496328123240021,3.645236384689055
2010-02-09,6.127229931007932,3.5949288239830186,6.127229931007932,4.1653883569504915
2010-02-10,5.119315744545459,2.6061651297867483,5.639585664375874,4.59692196872154
2010-02-11,2.6658354875678785,-1.7304700026386344,4.811884542905952,1.1336396713051338
2010-02-12,0.027857796162001458,-2.921769336622749,2.2173166953792096,-0.199581678285703
2010-02-13,-2.959718681294063,-4.976440812450535,0.8912543289046201,-2.5384305217316134
2010-02-14,0.470131386568277,-5.96959773151754,1.8958906490513243,-3.9415646207653654
2010-02-15,-0.5330842190506664,-6.483366875248442,2.860014105327243,-2.916368955721575
2010-02-16,-2.0157258604938835,-8.655103606743763,1.7022004065035963,-5.0799310594064
2010-02-17,0.15483341258428096,-8.10875484377327,1.960659584296085,-5.468480666967745
2010-02-18,-3.1534122857204476,-6.468438476367725,0.9804582800115894,-3.3574049345405026
2010-02-19,1.3145223318110988,-6.545035341179256,4.161651144023317,-4.10172761851739
2010-02-20,7.5580790465480225,-2.2129424325515163,9.031800946660777,-2.2129424325515163
2010-02-21,10.665952647244115,-1.0977467009937067,10.665952647244115,-1.0977467009937067
2010-02-22,11.626384557614255,1.5444644740260454,11.626384557614255,2.9470549888424693
2010-02-23,15.990777409526766,-0.5404958627779056,15.990777409526766,0.8121158196746321
2010-02-24,17.583747214181027,3.829833018533297,17.583747214181027,3.829833018533297
2010-02-25,14.807267602885794,11.707710594174873,14.807267602885794,11.707710594174873
2010-02-26,13.84827043159244,7.172328519804728,13.84827043159244,8.15554235590994
2010-02-27,8.576951083078253,3.5451601218509685,9.898351545043464,6.068489798788355
2010-02-28,10.739630418809078,3.7979070059432294,10.739630418809078,4.813956805003815
2010-03-01,6.951960320586483,1.0311331175067844,6.951960320586483,3.8781756673266425
2010-03-02,5.187923987778361,0.6645271853761432,6.086598391081289,2.814755990745522
2010-03-03,10.55792801979488,-1.7194033113298826,10.55792801979488,-0.03956575570042041
2010-03-04,6.281347885228311,3.088764646388584,7.0975200227984665,5.607990600381271
2010-03-05,8.535614667169867,4.243447162969108,9.237291698777161,5.411443913260487
2010-03-06,7.382388791337689,1.8632230382875345,8.784576776637959,4.173411499711788
2010-03-07,5.415084518799585,0.2709161797721382,7.227178796375757,3.4680784412502814
2010-03-08,4.730882058093915,-1.3872081912971996,7.228757520488786,1.7187831355128511
2010-03-09,3.4894703711400554,-5.316174952389999,5.271729191890686,-1.0917744210281222
2010-03-10,-1.5193630673706107,-7.274849239561808,1.4191758790233493,-3.0747414910851596
2010-03-11,4.900299549212694,-4.016041696272009,7.4605727419292,-2.0677623531678258
2010-03-12,12.039371736680646,1.8577286139522773,12.039371736680646,4.193586074862397
2010-03-13,10.238060163356048,-1.0778418751561991,10.238060163356048,1.5526576884089756
2010-03-14,12.643423919225365,1.4439182209352341,12.643423919225365,2.4104000113548905
2010-03-15,11.461465312562632,2.1091364063615994,11.461465312562632,5.318514694035703
