tm,cdd_18,hdd_18,cdd_18_ma3,hdd_18_ma3,cdd_18_ma7,hdd_18_ma7
2010-04-09,0.0,6.183926895074499,0.0,8.530105291165194,0.0,8.761563802518504
2010-04-10,0.0,6.213344054495897,0.0,7.07802860535714,0.0,7.959249407330965
2010-04-11,0.0,4.700116975593286,0.0,5.699129308387893,0.0,7.276370307438044
2010-04-12,0.0,5.154469391732864,0.0,5.355976807274016,0.0,7.096836626596485
2010-04-13,0.0,11.630576368131033,0.0,7.16172091181906,0.0,7.612688951921237
2010-04-14,0.0,13.38658030758221,0.0,10.057208689148702,0.0,8.015118408444403
2010-04-15,0.0,11.379439419842555,0.0,12.1321986985186,0.0,8.378350487493192
2010-04-16,0.0,10.027526237108313,0.0,11.597848654844361,0.0,8.927436107783738
2010-04-17,0.0,9.249318603460566,0.0,10.218761420137144,0.0,9.361146757635833
2010-04-18,0.0,6.078622140703846,0.0,8.451822327090907,0.0,9.558076066937343
2010-04-19,0.0,2.9817213911423153,0.0,6.103220711768909,0.0,9.247683495424406
2010-04-20,0.0,1.9068147097179846,0.0,3.6557194138547153,0.0,7.858574687079684
2010-04-21,0.0,4.305627448324657,0.0,3.064721183061652,0.0,6.561295707185748
2010-04-22,0.0,7.326894260881376,0.0,4.513112139641339,0.0,5.982360684477007
2010-04-23,0.0,7.903053371601599,0.0,6.511858360269211,0.0,5.678864560833191
2010-04-24,0.0,6.9740775604146314,0.0,7.401341730965869,0.0,5.353830126112344
2010-04-25,0.0,4.628354000123457,0.0,6.501828310713229,0.0,5.1466489631722885
2010-04-26,0.0,5.317591893176278,0.0,5.640007817904788,0.0,5.480344749177141
2010-04-27,0.0,8.468687232590389,0.0,6.138211041963374,0.0,6.417755109587484
2010-04-28,0.0,11.868851664748917,0.0,8.551710263505194,0.0,7.498215711933807
2010-04-29,0.0,8.113622898686527,0.0,9.483720598675278,0.0,7.610605517334542
2010-04-30,0.0,6.920913217297789,0.0,8.967795926911078,0.0,7.470299781005427
2010-05-01,0.0,5.367612583787384,0.0,6.8007162332572335,0.0,7.240804784344391
2010-05-02,0.0,0.8906545149776051,0.0,4.39306010535426,0.0,6.706847715037841
2010-05-03,1.43081924328186,0.0,0.47693974776062004,2.086089032921663,0.20440274904026573,5.947191730298373
2010-05-04,2.600221749031263,0.0,1.343680330771041,0.29688483832586837,0.5758629989018748,4.737379268499746
