년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),최소전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시,최소전력기준일시
2019,02,24,119350,92101,60881,-,31220,51.3,2019/02/24(24:00),-
2019,02,25,119350,93529,74848,-,18681,25,2019/02/25(10:00),-
2019,02,26,119350,96495,74488,-,22007,29.5,2019/02/26(10:00),-
2019,02,27,119350,96168,74792,-,21376,28.6,2019/02/27(10:00),-
2019,02,28,119350,96915,73115,-,23800,32.6,2019/02/28(10:00),-
2019,03,01,119350,91637,63532,-,28105,44.2,2019/03/01(20:00),-
2019,03,02,119350,93202,60563,-,32639,53.9,2019/03/02(24:00),-
2019,03,03,119350,93415,59211,-,34204,57.8,2019/03/03(20:00),-
2019,03,04,119350,91523,71880,-,19643,27.3,2019/03/04(20:00),-
2019,03,05,119350,89577,73603,-,15974,21.7,2019/03/05(10:00),-
2019,03,06,119350,90340,73573,-,16767,22.8,2019/03/06(10:00),-
2019,03,07,119350,90568,72780,-,17788,24.4,2019/03/07(10:00),-
2019,03,08,119350,91780,72390,-,19390,26.8,2019/03/08(09:00),-
2019,03,09,119350,90590,62527,-,28063,44.9,2019/03/09(01:00),-
2019,03,10,119350,90342,59584,-,30758,51.6,2019/03/10(20:00),-
2019,03,11,119350,90487,72149,-,18338,25.4,2019/03/11(10:00),-
2019,03,12,119350,90181,73773,-,16408,22.2,2019/03/12(10:00),-
2019,03,13,119350,90422,74136,-,16286,22,2019/03/13(10:00),-
2019,03,14,119350,91332,73378,-,17954,24.5,2019/03/14(09:00),-
2019,03,15,119350,91330,73568,-,17762,24.1,2019/03/15(10:00),-
2019,03,16,119350,91308,63088,-,28220,44.7,2019/03/16(01:00),-
2019,03,17,119350,91088,59480,-,31608,53.1,2019/03/17(20:00),-
2019,03,18,119350,89700,72008,-,17692,24.6,2019/03/18(10:00),-
2019,03,19,119350,89997,70866,-,19131,27,2019/03/19(09:00),-
2019,03,20,119350,88590,71675,-,16915,23.6,2019/03/20(10:00),-
2019,03,21,119350,89654,71884,-,17770,24.7,2019/03/21(10:00),-
2019,03,22,119350,90789,71617,-,19172,26.8,2019/03/22(09:00),-
2019,03,23,119350,89921,62029,-,27892,45,2019/03/23(01:00),-
2019,03,24,119350,90705,59274,-,31431,53,2019/03/24(20:00),-
2019,03,25,119350,88593,72375,-,16218,22.4,2019/03/25(10:00),-
2019,03,26,119350,88814,70390,-,18424,26.2,2019/03/26(09:00),-
2019,03,27,119826,88343,68679,-,19664,28.6,2019/03/27(10:00),-
2019,03,28,119826,87696,68576,-,19120,27.9,2019/03/28(09:00),-
2019,03,29,119826,89996,67957,-,22039,32.4,2019/03/29(09:00),-
2019,03,30,119826,90805,59993,-,30812,51.4,2019/03/30(24:00),-
2019,03,31,119826,91010,59005,-,32005,54.2,2019/03/31(20:00),-
2019,04,01,119826,89580,68918,-,20662,30,2019/04/01(20:00),-
2019,04,02,119826,89630,69375,-,20255,29.2,2019/04/02(20:00),-
2019,04,03,119826,89340,68911,-,20429,29.6,2019/04/03(09:00),-
2019,04,04,119826,88395,68612,-,19783,28.8,2019/04/04(09:00),-
2019,04,05,119826,88423,69788,-,18635,26.7,2019/04/05(10:00),-
2019,04,06,119826,85244,59799,-,25445,42.6,2019/04/06(01:00),-
2019,04,07,119826,85169,57246,-,27923,48.8,2019/04/07(20:00),-
2019,04,08,119826,86824,66789,-,20035,30,2019/04/08(20:00),-
2019,04,09,119826,87976,70499,-,17477,24.8,2019/04/09(17:00),-
2019,04,10,119826,86455,73010,-,13445,18.4,2019/04/10(10:00),-
2019,04,11,119826,85487,68823,-,16664,24.2,2019/04/11(10:00),-
2019,04,12,119826,86705,65841,-,20864,31.7,2019/04/12(09:00),-
2019,04,13,119826,83129,58741,-,24388,41.5,2019/04/13(01:00),-
2019,04,14,119826,82158,57347,-,24811,43.3,2019/04/14(21:00),-
2019,04,15,119826,85512,65652,-,19860,30.3,2019/04/15(20:00),-
2019,04,16,119826,83106,65846,-,17260,26.2,2019/04/16(20:00),-
2019,04,17,119826,82570,64858,-,17712,27.3,2019/04/17(09:00),-
2019,04,18,119826,82853,65665,-,17188,26.2,2019/04/18(20:00),-
2019,04,19,119826,84424,67286,-,17138,25.5,2019/04/19(10:00),-
2019,04,20,119826,85289,57536,-,27753,48.2,2019/04/20(01:00),-
2019,04,21,119826,83152,56357,-,26795,47.5,2019/04/21(01:00),-
2019,04,22,119826,81942,65036,-,16906,26,2019/04/22(17:00),-
2019,04,23,119826,81557,67676,-,13881,20.5,2019/04/23(17:00),-
2019,04,24,119826,82852,66843,-,16009,24,2019/04/24(17:00),-
2019,04,25,119826,83514,68406,-,15108,22.1,2019/04/25(17:00),-
2019,04,26,119826,84099,68703,-,15396,22.4,2019/04/26(17:00),-
2019,04,27,119826,82324,58248,-,24076,41.3,2019/04/27(01:00),-
2019,04,28,119826,80878,56304,-,24574,43.6,2019/04/28(21:00),-
2019,04,29,119826,82947,68904,-,14043,20.4,2019/04/29(15:00),-
2019,04,30,119826,82853,65866,-,16987,25.8,2019/04/30(10:00),-
2019,05,01,119826,81645,59257,-,22388,37.8,2019/05/01(21:00),-
2019,05,02,119826,82415,64347,-,18068,28.1,2019/05/02(20:00),-
2019,05,03,119826,81989,63488,-,18501,29.1,2019/05/03(17:00),-
