tm,actual,pred,ci_low,ci_high,rolling
2025-02-16,64423,67002.27674000639,61889.82912275115,72537.04125504041,64231.29636629328
2025-02-17,78114,78670.90646511933,72666.17431472208,85171.83658572829,76720.99674003145
2025-02-18,79075,80608.81999052034,74454.3340630927,87272.0432199136,80047.43121755168
2025-02-19,79643,80915.00576770352,74731.71147717223,87609.90520587013,80318.33130071888
2025-02-20,79895,81882.80807021349,75621.45585628625,88662.59160899324,80279.79055682113
2025-02-21,80061,80643.16765563094,74473.44062978939,87324.02363229707,79360.21869144856
2025-02-22,67988,70629.90714451867,65223.961236230934,76483.91310020965,69453.07593976235
2025-02-23,68283,70591.76482414389,65186.74401125932,76444.94807297815,68510.00557441488
2025-02-24,78296,81996.29600491244,75715.97394812929,88797.5444010165,80328.2066161225
2025-02-25,77625,81556.62288896486,75308.0519787079,88323.65945322052,78518.42454848981
2025-02-26,75917,78875.93402692823,72827.35521413207,85426.86948232162,75969.22317805642
2025-02-27,75932,78291.60513793307,72283.82732563496,84798.7117154243,75947.04449363834
2025-02-28,73438,76182.0584455551,70333.09082625342,82517.43184924283,74731.07549427586
2025-03-01,63248,60820.61982532886,56149.00934503953,65880.90937109268,58613.46091707439
2025-03-02,61922,64702.666461507244,59730.99315505391,70088.1540067752,66289.0430890341
2025-03-03,67656,70614.91740192394,65187.09792970346,76494.6855750175,68173.85463880945
2025-03-04,85127,78608.27710921134,72564.1293747542,85155.86534727152,75800.79101974594
2025-03-05,80532,76944.83434602215,71023.23129423604,83360.15448254147,81200.39616624196
2025-03-06,75167,76927.82526692157,71003.50740262496,83346.45029210535,79231.24680565497
2025-03-07,74255,75356.1403033337,69549.74965407913,81647.27996375559,74012.03347842924
2025-03-08,63786,65865.69236254388,60788.300282449505,71367.17773386733,65421.50124522734
2025-03-09,62382,64649.211349432,59663.65488497446,70051.36604791014,62338.05412283551
2025-03-10,72266,75241.5824799035,69437.13281552882,81531.2427879228,73209.4236764717
2025-03-11,71531,74713.42353661662,68947.8344245199,80961.14552622846,73557.56397122794
2025-03-12,71900,74990.7329903799,69198.429992362,81267.88476350081,72413.57920133362
2025-03-13,71956,74108.55909842812,68380.43649393047,80316.51760708922,71206.08983651127
2025-03-14,68297,71124.21433632243,65623.75503900585,77085.7117510624,69717.82153736052
2025-03-15,61990,63014.77450042362,58139.23991258885,68299.16956790883,60710.21509931818
2025-03-16,64455,63991.74513133122,59038.64493465357,69360.39012219381,62851.633656571
2025-03-17,74273,74830.6015164729,69036.45734793184,81111.0410126644,74964.167011726
2025-03-18,79892,77885.85297957131,71853.11263273474,84425.09826069475,77150.30335353379
2025-03-19,74254,76231.51268282953,70321.41412468173,82638.32003732052,77262.84348811899
2025-03-20,71832,75406.5939771268,69556.33748843256,81748.90485251443,73766.13519515321
2025-03-21,68159,72526.75209108551,66896.7812771898,78630.53600570398,69893.75201288048
2025-03-22,60131,62517.19519554818,57661.959614750784,67781.24991295727,59608.93969222539
2025-03-23,59671,60770.376754508135,56048.872587780046,65889.61597935925,59016.46343394951
2025-03-24,68066,70955.54626580935,65440.668753978935,76935.17871596156,69813.69862397823
2025-03-25,68612,71200.57626545863,65664.74188180226,77203.10649600394,69299.19056671721
2025-03-26,67221,68862.70888541886,63503.591839516135,74674.08594811347,66411.91592236512
2025-03-27,69183,70897.67997677672,65376.24912919803,76885.43000006012,69154.35350210126
2025-03-28,67840,70489.89605209602,64997.098759011715,76446.88055782468,68961.12392891188
2025-03-29,62150,63098.375043290864,58179.199907145245,68433.47690339787,61111.12650058184
2025-03-30,61624,62604.87875429183,57722.1317618368,67900.66001046219,61744.81378702224
2025-03-31,69168,72894.7275282896,67207.28008599934,79063.4778646625,71624.09537818943
2025-04-01,69182,73089.54024709712,67384.86896157291,79277.15785243153,70207.1398819517
2025-04-02,69045,73789.41452246293,68024.6130239219,80042.75884161354,70687.38723516466
2025-04-03,68704,74561.61940638714,68732.2561895657,80885.38623219107,70759.57058477902
2025-04-04,66311,72571.91350253786,66894.81849282197,78730.80080163412,68186.36546921263
2025-04-05,60778,64896.2483277528,59817.121482806986,70406.64850828472,60646.96116466458
2025-04-06,58920,61460.518972916165,56648.22765503861,66681.61650921847,58355.84258824738
2025-04-07,67482,70701.69612774842,65163.67121624657,76710.37776174581,67983.52346978759
2025-04-08,67166,71019.29566997536,65454.36707210529,77057.35435350153,68349.04402097117
2025-04-09,67503,71184.17080937292,65600.92416358493,77242.60349110716,67797.74909059638
2025-04-10,67051,71097.14703907214,65516.60990371407,77153.0200436835,67777.96789521968
2025-04-11,64924,68812.23004214445,63407.84931617546,74677.23719443468,65536.83486734473
2025-04-12,58924,61540.70168021385,56705.004817359375,66788.77773648764,58688.26351376636
2025-04-13,59804,61755.585241801564,56900.87461072897,67024.49364176056,59601.160075495936
2025-04-14,71667,74446.94217405375,68592.20386441318,80801.41600381452,72265.20095426249
