tm,actual,arimax_oneshot,ci_low,ci_high,sarima_oneshot,naive,snaive,arimax_rolling
2025-04-20,58683,59250.16738404348,51051.30804649691,67449.02672159005,67182.50377554337,60286,59804,58694.41541502978
2025-04-21,67710,71997.18735061398,63795.34675603531,80199.02794519265,78601.56659563069,58683,71667,68431.20377283324
2025-04-22,69713,71609.82663298765,63406.333486488686,79813.31977948661,78556.00190895004,67710,68752,68828.56986196441
2025-04-23,67083,69167.15079206253,60898.40648765071,77435.89509647434,77401.3982009926,69713,67535,67908.14644129598
2025-04-24,66740,70974.05057333187,62671.69988542731,79276.40126123643,79137.43707863694,67083,67939,67118.35166160879
2025-04-25,64865,70880.075434346,62559.60621883073,79200.54464986126,78432.38012827259,66740,66383,65785.90863657273
2025-04-26,57963,59417.382080742085,51087.08892580758,67747.6752356766,68332.78255487626,64865,60286,57310.95974078544
2025-04-27,57477,58115.90937083387,49780.25561681734,66451.56312485039,67257.54044388988,57963,58683,56770.56490221994
2025-04-28,66068,71159.20763357305,62820.60605976565,79497.80920738046,78676.60326397716,57477,67710,67336.62648698672
2025-04-29,66232,70780.63924407965,62440.40091063957,79120.87757751973,78631.03857729655,66068,69713,67776.6985912962
2025-04-30,65333,68123.08854347983,59718.58561399176,76527.59147296789,77476.43486933912,66232,67083,64685.46475935505
2025-05-01,61111,71530.27314618907,63092.6509807795,79967.89531159862,79212.47374698342,65333,66740,67046.99612331101
2025-05-02,61909,70092.61563406202,61637.12573547859,78548.10553264545,78507.41679661906,61111,64865,60301.22929980173
2025-05-03,57168,61177.1614891192,52711.97582220075,69642.34715603765,68407.81922322273,61909,57963,57548.16477407796
2025-05-04,55754,57833.4393501568,49362.957616925516,66303.92108338808,67332.57711223634,57168,57477,54834.895842164195
2025-05-05,57374,66342.6896406936,57869.29176907203,74816.08751231516,78751.63993232361,55754,66068,61132.48993912068
2025-05-06,59717,65204.30499634215,56729.28527194756,73679.32472073674,78706.075245643,57374,66232,58942.49987410051
2025-05-07,65492,69150.23732995302,60611.893531050126,77688.5811288559,77551.47153768557,59717,65333,65209.61275147239
2025-05-08,66515,69608.11064628545,61037.112053121135,78179.10923944977,79287.51041532987,65492,61111,62834.59976962746
2025-05-09,69578,71449.65787432322,62861.030562557906,80038.28518608854,78582.4534649655,66515,61909,67374.98743608342
2025-05-10,59775,60646.07052284258,52047.869494697625,69244.27155098753,68482.85589156917,69578,57168,61472.48912530819
2025-05-11,58905,58460.90612984304,49857.470403576954,67064.34185610912,67407.61378058277,59775,55754,58007.99619596432
