tm,actual,arimax_v2_oneshot,arimax_v2_rolling,ci_low,ci_high
2025-04-21,67710,71415.45718897933,68144.65965481295,60356.48214115515,82474.4322368035
2025-04-22,69713,70906.64066609892,68667.13452503363,59845.84173215945,81967.43960003837
2025-04-23,67083,68234.83034752803,67741.04517514423,57073.06087450919,79396.59982054686
2025-04-24,66740,70288.25729767297,66926.88050182171,59074.13638936172,81502.37820598422
2025-04-25,64865,70288.0305774103,65569.47198682887,59047.97859196324,81528.08256285737
2025-04-26,57963,58628.63941291494,57375.82089544095,47375.59357693665,69881.68524889323
2025-04-27,57477,57304.55123846988,56743.84192952484,46044.89977807549,68564.20269886428
2025-04-28,66068,70565.01579888423,67151.40561384114,59301.94233515703,81828.08926261142
2025-04-29,66232,70055.22434363203,67587.02023068149,58790.333638881624,81320.11504838243
2025-04-30,65333,67187.80734780492,64605.71160245461,55823.56181052476,78552.05288508507
2025-05-01,61111,72060.72268990244,68185.16486108406,60644.91226556641,83476.53311423847
2025-05-02,61909,70711.55835647682,60472.482479883045,59270.17422921485,82152.94248373879
2025-05-03,57168,61593.19550603487,58154.18348857659,50138.97545783875,73047.41555423099
2025-05-04,55754,58237.5026997486,55229.408567403094,46776.74285751594,69698.26254198125
2025-05-05,57374,67290.24292757007,61724.24867010466,55826.085147928425,78754.40070721171
2025-05-06,59717,66021.88013652673,59291.40084737609,54555.91087767453,77487.84939537893
2025-05-07,65492,69424.73832993579,65357.25319494226,57860.94750113935,80988.52915873223
2025-05-08,66515,70138.67564042563,62805.18185001917,58524.066120683936,81753.28516016733
2025-05-09,69578,72073.60773159182,67549.82093567621,60433.76307932676,83713.45238385689
2025-05-10,59775,61035.84301336288,61719.557833139355,49383.31162214101,72688.37440458476
2025-05-11,58905,58859.58137840606,58160.0240466136,47200.57199450473,70518.59076230739
2025-05-12,67736,70334.81600532607,65327.88830633709,58672.430925066205,81997.20108558593
2025-05-13,68714,70023.70234113625,68659.95135676183,58359.510734676136,81687.89394759636
2025-05-14,68653,69522.34373949307,68953.57087464175,57761.78804340572,81282.8994355804
2025-05-15,69998,72476.63787914596,68458.68496716212,60665.97256716743,84287.30319112449
2025-05-16,72857,72925.82484621416,69722.69226787158,61090.245671973484,84761.40402045485
2025-05-17,61203,59434.75484206545,61314.65019665769,47586.630065138466,71282.87961899243
2025-05-18,58594,57410.096125144264,59049.502963253624,45555.55145326739,69264.64079702113
2025-05-19,68353,70838.10083347773,67370.87601389426,58980.2010299363,82696.00063701915
2025-05-20,72893,75196.28829210227,73904.44031306199,63336.58617265391,87055.99041155062
2025-05-21,74239,75125.87745353897,73752.77724939176,63171.198876190996,87080.55603088693
2025-05-22,71622,74051.0674003818,70400.8869436999,62046.95404282234,86055.18075794126
2025-05-23,67177,71390.3569800402,69067.42807094796,59361.6350720238,83419.07888805661
2025-05-24,58828,60573.090263324084,59479.555050519055,48531.95646947307,72614.2240571751
2025-05-25,58337,57954.71932148802,56988.625362521365,45907.22031702775,70002.21832594828
2025-05-26,68026,71299.93992688137,67541.29918294406,59249.10481148536,83350.77504227738
2025-05-27,69448,70978.88578586567,68842.66883336748,58926.25188100045,83031.5196907309
2025-05-28,68575,69658.31402867519,68994.88196842482,57512.02675382408,81804.60130352629
2025-05-29,69244,71283.03590238938,67790.43701237733,59087.95702297942,83478.11478179935
2025-05-30,67178,71094.99578583453,68456.05926532143,58875.59891073676,83314.39266093231
2025-05-31,59788,59872.65469040991,58803.73464785238,47640.97278770153,72104.33659311829
2025-06-01,60283,60194.59515465763,60806.63416645295,47956.59957208763,72432.59073722764
2025-06-02,69209,73152.23837674574,69271.19748157272,60910.92427843783,85393.55247505364
2025-06-03,62134,66091.03086657973,63669.07434312129,53847.920873998024,78334.14085916145
2025-06-04,68127,69984.34971122703,67457.43311311898,57648.84965174189,82319.84977071217
2025-06-05,68191,72852.72144858053,69226.07867222151,60469.043616711795,85236.39928044927
2025-06-06,63003,69074.80047212598,64234.55612104654,56667.081521720596,81482.51942253136
2025-06-07,61690,64235.85609096005,61948.575169001335,51815.972616355204,76655.7395655649
2025-06-08,63953,64963.65476539591,63662.428980217366,52537.50622140278,77389.80330938904
2025-06-09,74569,77730.88694352489,73067.73755972029,65301.43615976126,90160.33772728853
2025-06-10,73235,75583.57032917424,73291.9604549554,63152.325962275434,88014.81469607305
2025-06-11,70733,73702.78461340134,72514.93923327271,61180.357981114386,86225.21124568829
2025-06-12,73440,77556.81839717485,72780.53725474651,64986.8005683546,90126.8362259951
2025-06-13,73842,76664.73441160229,71910.5123697906,64070.93963663649,89258.52918656809
2025-06-14,66062,66818.28472557591,66763.56322253798,54212.440029053556,79424.12942209827
2025-06-15,68191,66805.40602843216,66829.81831415211,54193.342162915396,79417.46989394893
2025-06-16,79094,78875.6708465211,76332.21885885966,66260.31979367933,91491.02189936287
2025-06-17,76928,78163.2036830836,78277.60719507701,65546.06081663925,90780.34654952795
2025-06-18,76769,77027.4209767181,76069.23230398282,64320.25201176655,89734.58994166966
2025-06-19,80132,81218.8139747332,78581.03744228175,68464.61501888656,93973.01293057985
2025-06-20,81637,80588.80013176965,78541.64291194871,67811.0765768271,93366.5236867122
2025-06-21,67111,66386.60297869322,68873.97997293685,53596.93861446764,79176.2673429188
2025-06-22,63748,64064.953877610664,65473.21408174757,51269.11372462582,76860.79403059551
2025-06-23,77000,79499.45530702942,76460.95478110522,66700.34188206925,92298.5687319896
2025-06-24,77050,78212.74108855672,76020.64495502082,65411.837116224924,91013.64506088852
2025-06-25,73192,74701.06189802427,74070.24760085814,61811.23986060744,87590.8839354411
2025-06-26,74223,77169.14469730269,74055.76191288169,64232.830213680936,90105.45918092444
2025-06-27,76223,79111.72157289929,76584.59778390016,66152.12380907015,92071.31933672843
2025-06-28,71638,69792.02124310791,68992.5685494665,56820.58666388237,82763.45582233346
2025-06-29,72284,69744.50851385592,71504.55570024572,56766.93917802719,82722.07784968466
2025-06-30,85599,83779.78754742608,82871.5394216391,70798.95779613726,96760.6172987149
2025-07-01,89209,83761.33908455519,84947.27210320209,70778.71958348401,96743.95858562637
2025-07-02,89069,83124.27498463259,86917.56617955881,70053.8004971238,96194.74947214138
2025-07-03,89103,85063.66772117277,87223.01640430657,71947.21622434446,98180.11921800107
2025-07-04,84920,84344.20413521948,86560.08808756241,71204.70037345763,97483.70789698133
2025-07-05,77901,73563.18709330678,75932.54882954084,60411.94572969918,86714.4284569144
2025-07-06,78705,73215.78957938905,76971.47554277732,60058.45229958027,86373.12685919783
2025-07-07,93374,87124.32309557979,89060.22048965248,73963.73726904657,100284.90892211301
2025-07-08,95675,87744.67080804243,93258.61695807529,74582.29559211989,100907.04602396497
2025-07-09,92685,86361.2196339556,92499.36284715946,73112.01044883377,99610.42881907742
2025-07-10,90717,86639.90690664882,89564.93245476506,73345.21545614702,99934.59835715061
2025-07-11,87206,85610.38867541352,87393.29892125544,72292.86633181963,98927.9110190074
2025-07-12,77144,73616.19385087208,77226.59407426324,60287.02864662875,86945.3590551154
2025-07-13,71975,71103.13122407734,74739.44961459542,57767.90689464765,84438.35555350703
2025-07-14,80116,82026.73088061402,81824.43334008148,68688.26895008901,95365.19281113903
2025-07-15,78825,80301.58328784736,80621.3957922601,66961.33191973071,93641.834655964
2025-07-16,82918,78886.80621621596,78400.82400190816,65460.70247484578,92312.90995758615
2025-07-17,82505,80830.454513276,82542.49659772676,67359.34384950322,94301.56517704877
2025-07-18,81588,80899.72692657041,80969.25800610892,67405.99770108146,94393.45615205936
2025-07-19,70401,68900.08905818994,71832.03312633415,55394.80752214511,82405.37059423479
2025-07-20,73579,69979.1812945756,71355.44843595756,56467.87550493378,83490.48708421741
2025-07-21,86584,83886.99867915966,85107.4800092046,70372.4653699491,97401.53198837022
2025-07-22,88890,83751.99531370979,86783.03680589715,70235.6721361857,97268.31849123388
2025-07-23,89515,82713.00230981503,88185.0788044941,69111.77134833089,96314.23327129916
2025-07-24,91379,85438.99871139713,89007.44565309116,71793.21795199701,99084.77947079725
2025-07-25,90528,87199.51748494098,90476.277586235,73531.32200668954,100867.71296319242
2025-07-26,82821,76959.40962913624,81321.515646877,63279.748456738926,90639.07080153355
2025-07-27,82696,76395.3536408629,81552.78403266943,62709.70128593683,90081.00599578898
2025-07-28,90985,89249.0354463367,92795.95544143613,75560.16484321898,102937.90604945441
2025-07-29,90991,88633.74421254081,91566.49207254933,74943.08295169569,102324.40547338594
2025-07-30,87806,87347.34575781705,91125.19532541504,73572.6865089579,101122.0050066762
2025-07-31,86203,89306.46914130214,89031.52254544693,75487.70008511214,103125.23819749213
2025-08-01,85678,88817.11811166751,85695.73516412952,74976.13019732336,102658.10602601166
2025-08-02,80532,77429.98620390576,77737.02771374513,63577.615514252786,91282.35689355874
2025-08-03,76329,74228.98454121187,77782.85374744961,60370.65404859727,88087.31503382648
2025-08-04,86074,86918.54037616702,86946.5130345283,73057.00014602866,100780.08060630538
2025-08-05,87891,86053.51134739461,86992.77809448249,72190.17933324327,99916.84336154595
2025-08-06,87801,84105.90047816272,86581.63203098062,70159.44751162185,98052.35344470358
2025-08-07,87053,85155.6518648366,86367.7826368511,71165.51294451224,99145.79078516096
2025-08-08,84820,83627.44451922723,84044.37889697963,69615.27508472987,97639.61395372458
2025-08-09,72350,70595.26759097837,74701.05555721976,56571.794819443356,84618.74036251339
2025-08-10,73104,69700.2319774446,71784.57514809637,55670.829191175086,83729.6347637141
2025-08-11,85071,82734.13952721684,83512.1245314878,68701.5347987797,96766.74425565399
2025-08-12,85223,81787.86822497887,85259.18515881425,67753.47026939483,95822.2661805629
2025-08-13,85279,81646.41764770132,85633.04812368123,67529.7448862053,95763.09040919735
2025-08-14,84685,83471.63697220932,84865.41959886569,69311.68689147603,97631.58705294262
2025-08-15,80573,78096.75259191563,78244.81866433578,63914.95325297143,92278.55193085985
2025-08-16,78156,72745.0416844974,77064.62198957382,58552.01516605748,86938.06820293731
2025-08-17,78493,72096.10058055032,77192.17261768803,57897.17233646369,86295.02882463695
2025-08-18,91911,86197.35184320268,89531.5451432998,71995.22877875909,100399.47490764626
2025-08-19,93346,85541.7379681871,91369.46917498765,71337.8199350248,99745.65600134939
2025-08-20,93164,84250.67290907717,91206.45916623111,69965.29705283431,98536.04876532003
2025-08-21,94599,86603.52446912516,91666.29907449214,72275.26555622055,100931.78338202977
2025-08-22,93253,87112.88682899336,92702.0581954369,72762.95322140012,101462.8204365866
2025-08-23,83469,75947.52123947717,83154.46708237978,61586.433513567106,90308.60896538722
2025-08-24,83069,75522.18782349827,82427.13977710086,61155.22524692008,89889.15040007647
2025-08-25,95951,88741.35009030235,93517.40633839682,74371.1991801296,103111.50100047511
2025-08-26,91434,85212.58438284838,92662.75363330741,70840.63648090651,99584.53228479024
2025-08-27,88503,82776.51822328349,89136.17238308156,68323.90191151877,97229.13453504822
2025-08-28,91396,85632.3612712534,89266.99736906137,71137.2425763495,100127.47996615729
2025-08-29,91742,86484.75129349537,90632.553530615,71968.12614065451,101001.37644633623
2025-08-30,81144,74725.71356956725,81404.94385172405,60198.00443362002,89253.42270551447
2025-08-31,78152,72702.93912437548,78987.0753317897,58169.3806771857,87236.49757156527
2025-09-01,89532,84900.17844034683,88829.18610101445,70363.43754682344,99436.91933387023
2025-09-02,87098,82657.52027817727,87904.00189009971,68118.98010400645,97196.06045234809
2025-09-03,88533,81979.53799043715,86884.4900963175,67361.09272535132,96597.98325552298
