prd,c1,c1_name,value
201007,1C,서비스업,83.9
201008,1C,서비스업,82.7
201009,1C,서비스업,83.4
201010,1C,서비스업,84.5
201011,1C,서비스업,84.6
201012,1C,서비스업,92.3
201101,1C,서비스업,84.3
201102,1C,서비스업,79.3
201103,1C,서비스업,87.5
201104,1C,서비스업,85.9
201105,1C,서비스업,87.0
201106,1C,서비스업,88.0
201107,1C,서비스업,86.8
201108,1C,서비스업,86.8
201109,1C,서비스업,87.0
201110,1C,서비스업,87.6
201111,1C,서비스업,87.4
201112,1C,서비스업,94.0
201201,1C,서비스업,84.4
201202,1C,서비스업,84.0
201203,1C,서비스업,89.0
201204,1C,서비스업,86.4
201205,1C,서비스업,89.1
201206,1C,서비스업,89.1
201207,1C,서비스업,88.2
201208,1C,서비스업,87.5
201209,1C,서비스업,89.0
201210,1C,서비스업,88.1
201211,1C,서비스업,88.7
201212,1C,서비스업,94.7
201301,1C,서비스업,86.0
201302,1C,서비스업,84.4
201303,1C,서비스업,89.7
201304,1C,서비스업,88.8
201305,1C,서비스업,90.6
201306,1C,서비스업,90.0
201307,1C,서비스업,88.8
201308,1C,서비스업,88.9
201309,1C,서비스업,88.7
201310,1C,서비스업,90.7
201311,1C,서비스업,90.3
201312,1C,서비스업,96.4
201401,1C,서비스업,88.2
201402,1C,서비스업,85.7
201403,1C,서비스업,92.1
201404,1C,서비스업,89.9
201405,1C,서비스업,91.6
201406,1C,서비스업,92.3
201407,1C,서비스업,91.6
201408,1C,서비스업,90.8
201409,1C,서비스업,91.1
201410,1C,서비스업,93.1
201411,1C,서비스업,92.3
201412,1C,서비스업,99.7
201501,1C,서비스업,89.5
201502,1C,서비스업,87.6
201503,1C,서비스업,94.9
201504,1C,서비스업,93.5
201505,1C,서비스업,93.6
201506,1C,서비스업,94.0
201507,1C,서비스업,93.5
201508,1C,서비스업,92.8
201509,1C,서비스업,94.4
201510,1C,서비스업,96.0
201511,1C,서비스업,95.2
201512,1C,서비스업,104.5
201601,1C,서비스업,91.7
201602,1C,서비스업,89.7
201603,1C,서비스업,97.3
201604,1C,서비스업,95.5
201605,1C,서비스업,96.7
201606,1C,서비스업,98.3
201607,1C,서비스업,96.2
201608,1C,서비스업,96.4
201609,1C,서비스업,96.6
201610,1C,서비스업,97.4
201611,1C,서비스업,97.2
201612,1C,서비스업,106.3
201701,1C,서비스업,93.6
201702,1C,서비스업,91.7
201703,1C,서비스업,99.4
201704,1C,서비스업,97.1
201705,1C,서비스업,98.5
201706,1C,서비스업,99.9
201707,1C,서비스업,97.5
201708,1C,서비스업,97.9
201709,1C,서비스업,101.5
201710,1C,서비스업,96.4
201711,1C,서비스업,100.2
201712,1C,서비스업,107.4
201801,1C,서비스업,97.1
201802,1C,서비스업,93.9
201803,1C,서비스업,101.7
201804,1C,서비스업,99.9
201805,1C,서비스업,100.8
201806,1C,서비스업,101.9
201807,1C,서비스업,100.3
201808,1C,서비스업,99.6
201809,1C,서비스업,99.8
201810,1C,서비스업,101.9
201811,1C,서비스업,101.4
201812,1C,서비스업,109.0
201901,1C,서비스업,99.6
201902,1C,서비스업,93.6
201903,1C,서비스업,102.3
201904,1C,서비스업,101.4
201905,1C,서비스업,103.1
201906,1C,서비스업,101.9
201907,1C,서비스업,101.7
201908,1C,서비스업,101.9
201909,1C,서비스업,100.5
201910,1C,서비스업,102.7
201911,1C,서비스업,103.8
201912,1C,서비스업,111.8
202001,1C,서비스업,101.8
202002,1C,서비스업,95.9
202003,1C,서비스업,98.4
202004,1C,서비스업,94.9
202005,1C,서비스업,98.0
202006,1C,서비스업,101.0
202007,1C,서비스업,99.5
202008,1C,서비스업,97.1
202009,1C,서비스업,99.9
202010,1C,서비스업,99.7
202011,1C,서비스업,102.0
202012,1C,서비스업,111.9
202101,1C,서비스업,96.9
202102,1C,서비스업,95.1
202103,1C,서비스업,106.1
202104,1C,서비스업,103.8
202105,1C,서비스업,104.2
202106,1C,서비스업,107.8
202107,1C,서비스업,104.0
202108,1C,서비스업,102.0
202109,1C,서비스업,104.8
202110,1C,서비스업,105.8
202111,1C,서비스업,109.0
202112,1C,서비스업,121.0
202201,1C,서비스업,104.7
202202,1C,서비스업,99.6
202203,1C,서비스업,110.9
202204,1C,서비스업,110.4
202205,1C,서비스업,112.5
202206,1C,서비스업,114.8
202207,1C,서비스업,111.8
202208,1C,서비스업,112.3
202209,1C,서비스업,113.4
202210,1C,서비스업,113.4
202211,1C,서비스업,114.0
202212,1C,서비스업,129.3
202301,1C,서비스업,109.4
202302,1C,서비스업,108.2
202303,1C,서비스업,117.5
202304,1C,서비스업,113.4
202305,1C,서비스업,115.2
202306,1C,서비스업,118.9
202307,1C,서비스업,115.1
202308,1C,서비스업,114.7
202309,1C,서비스업,116.4
202310,1C,서비스업,115.5
202311,1C,서비스업,117.3
202312,1C,서비스업,131.0
202401,1C,서비스업,113.7
202402,1C,서비스업,110.3
202403,1C,서비스업,118.9
202404,1C,서비스업,116.8
202405,1C,서비스업,117.2
202406,1C,서비스업,119.0
202407,1C,서비스업,116.5
202408,1C,서비스업,115.3
202409,1C,서비스업,115.2
202410,1C,서비스업,117.8
202411,1C,서비스업,117.9
202412,1C,서비스업,132.2
202501,1C,서비스업,113.3
202502,1C,서비스업,112.1
202503,1C,서비스업,120.6
202504,1C,서비스업,118.4
202505,1C,서비스업,118.6
202506,1C,서비스업,121.7
202507,1C,서비스업,119.2
202508,1C,서비스업,116.2
202509,1C,서비스업,122.8
202510,1C,서비스업,118.4
202511,1C,서비스업,120.9
202512,1C,서비스업,136.8
201001,1D,건설업,71.7861
201002,1D,건설업,67.9538
201003,1D,건설업,84.2792
201004,1D,건설업,79.5678
201005,1D,건설업,83.1875
201006,1D,건설업,96.7597
201007,1D,건설업,80.0792
201008,1D,건설업,76.6392
201009,1D,건설업,79.0193
201010,1D,건설업,78.3743
201011,1D,건설업,85.0204
201012,1D,건설업,109.8249
201101,1D,건설업,64.7265
201102,1D,건설업,55.2722
201103,1D,건설업,79.2226
201104,1D,건설업,72.9926
201105,1D,건설업,75.3602
201106,1D,건설업,95.7261
201107,1D,건설업,68.164
201108,1D,건설업,69.529
201109,1D,건설업,78.0073
201110,1D,건설업,79.8259
201111,1D,건설업,78.9415
201112,1D,건설업,111.6309
201201,1D,건설업,57.6397
201202,1D,건설업,59.8468
201203,1D,건설업,73.6165
201204,1D,건설업,67.6211
201205,1D,건설업,72.4581
201206,1D,건설업,82.4622
201207,1D,건설업,70.4487
201208,1D,건설업,65.7501
201209,1D,건설업,76.6576
201210,1D,건설업,73.1386
201211,1D,건설업,80.776
201212,1D,건설업,102.13
201301,1D,건설업,62.2558
201302,1D,건설업,61.6131
201303,1D,건설업,76.0497
201304,1D,건설업,80.5429
201305,1D,건설업,81.29
201306,1D,건설업,94.5555
201307,1D,건설업,78.2708
201308,1D,건설업,76.3464
201309,1D,건설업,81.0029
201310,1D,건설업,85.5132
201311,1D,건설업,89.9916
201312,1D,건설업,105.5511
201401,1D,건설업,69.5265
201402,1D,건설업,65.6089
201403,1D,건설업,78.0003
201404,1D,건설업,83.0489
201405,1D,건설업,80.3916
201406,1D,건설업,93.2391
201407,1D,건설업,77.6488
201408,1D,건설업,75.7993
201409,1D,건설업,77.7443
201410,1D,건설업,80.6564
201411,1D,건설업,81.6496
201412,1D,건설업,102.4632
201501,1D,건설업,69.3968
201502,1D,건설업,67.748
201503,1D,건설업,78.7581
201504,1D,건설업,78.1891
201505,1D,건설업,78.9887
201506,1D,건설업,96.9343
201507,1D,건설업,80.1509
201508,1D,건설업,80.5357
201509,1D,건설업,90.6717
201510,1D,건설업,86.0827
201511,1D,건설업,87.9074
201512,1D,건설업,118.4274
201601,1D,건설업,74.4359
201602,1D,건설업,73.6842
201603,1D,건설업,94.9821
201604,1D,건설업,88.795
201605,1D,건설업,92.1721
201606,1D,건설업,113.9778
201607,1D,건설업,93.529
201608,1D,건설업,96.4675
201609,1D,건설업,99.1559
201610,1D,건설업,101.7708
201611,1D,건설업,111.1138
201612,1D,건설업,134.4397
201701,1D,건설업,85.3042
201702,1D,건설업,91.0467
201703,1D,건설업,114.4993
201704,1D,건설업,106.384
201705,1D,건설업,107.5101
201706,1D,건설업,124.5778
201707,1D,건설업,106.2699
201708,1D,건설업,105.113
201709,1D,건설업,117.3469
201710,1D,건설업,101.447
201711,1D,건설업,112.9443
201712,1D,건설업,136.2438
201801,1D,건설업,98.9088
201802,1D,건설업,90.3188
201803,1D,건설업,108.4688
201804,1D,건설업,106.7397
201805,1D,건설업,105.1959
201806,1D,건설업,118.2847
201807,1D,건설업,101.7705
201808,1D,건설업,101.105
201809,1D,건설업,97.5726
201810,1D,건설업,99.7192
201811,1D,건설업,102.245
